,Make,Model,Investigation_Type,Event_Date,Aircraft_damage,Amateur_Built,Number_of_Engines,Engine_Type,Purpose_of_flight,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured
47677,Cessna,172G,Accident,2000-02-01,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
47678,Cessna,172A,Accident,2000-02-01,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,1.0,0.0
47679,Piper,PA-46-310P,Accident,2000-02-01,Substantial,No,1.0,turbo prop,Personal,0.0,0.0,0.0,5.0
47680,Piper,PA-46-310P,Accident,2000-02-01,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
47681,Cessna,421B,Accident,2000-02-01,Destroyed,No,2.0,reciprocating,Personal,1.0,0.0,0.0,0.0
47684,Cessna,A185F,Accident,2000-03-01,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,4.0
47685,Piper,PA-24-180,Accident,2000-03-01,Substantial,No,1.0,reciprocating,Personal,2.0,1.0,0.0,0.0
47687,Rotorway,Exec 90,Accident,2000-04-01,Substantial,Yes,1.0,reciprocating,Instructional,0.0,0.0,0.0,2.0
47688,Beech,B200,Accident,2000-04-01,Substantial,No,2.0,turbo prop,Personal,0.0,0.0,0.0,3.0
47689,Cessna,172R,Accident,2000-05-01,Destroyed,No,1.0,reciprocating,Instructional,1.0,0.0,0.0,0.0
47690,Bell,206A,Accident,2000-05-01,Substantial,No,1.0,turbo shaft,Aerial Observation,0.0,0.0,0.0,4.0
47691,Cessna,310N,Accident,2000-06-01,Substantial,No,2.0,reciprocating,Instructional,2.0,0.0,0.0,0.0
47692,Beech,D-95A TRAVELAIR,Accident,2000-06-01,Destroyed,No,2.0,reciprocating,Positioning,1.0,0.0,0.0,0.0
47693,Cessna,150G,Accident,2000-07-01,Substantial,No,1.0,reciprocating,Personal,1.0,0.0,0.0,0.0
47694,Cessna,177B,Accident,2000-07-01,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
47695,Piper,PA-32R-301T,Accident,2000-08-01,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
47696,Hawker Siddeley,HUNTER F MK 4,Accident,2000-08-01,Substantial,No,1.0,turbo jet,Ferry,0.0,1.0,0.0,0.0
47697,Cessna,172P,Accident,2000-08-01,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,2.0
47698,Piper,PA-28R-201,Accident,2000-08-01,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
47699,Piper,PA-23-250,Accident,2000-08-01,Substantial,No,2.0,reciprocating,Personal,0.0,0.0,0.0,1.0
47701,Beech,23,Accident,2000-08-01,Destroyed,No,1.0,reciprocating,Personal,2.0,0.0,0.0,0.0
47702,Swearingen,SX300,Accident,2000-09-01,Substantial,Yes,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
47703,Bellanca,7ECA,Accident,2000-09-01,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
47704,Piper,PA-32-300,Accident,2000-09-01,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,2.0
47706,Mooney,M20M,Accident,2000-09-01,Destroyed,No,1.0,reciprocating,Personal,1.0,0.0,0.0,0.0
47708,Beech,D18S,Accident,2000-10-01,Substantial,No,2.0,reciprocating,Positioning,0.0,0.0,0.0,1.0
47709,Taylorcraft,DCO-65,Accident,2000-10-01,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
47710,Cessna,172R,Accident,2000-10-01,Substantial,No,1.0,reciprocating,Aerial Observation,0.0,0.0,0.0,1.0
47711,Aerostar,601P,Accident,2000-10-01,Destroyed,No,2.0,reciprocating,Positioning,2.0,0.0,0.0,0.0
47713,Piper,PA-46-310P,Accident,2000-11-01,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,4.0
47714,Beech,F-33A,Accident,2000-11-01,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,3.0
47715,Bell,OH-58C,Accident,2000-11-01,Substantial,No,1.0,turbo shaft,Public Aircraft,0.0,1.0,0.0,3.0
47718,Beech,K35,Accident,2000-01-13,Substantial,No,1.0,reciprocating,Business,0.0,0.0,0.0,4.0
47719,Piper,PA-38-112,Accident,2000-01-14,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
47720,Cessna,150F,Accident,2000-01-14,Substantial,No,1.0,reciprocating,Aerial Observation,0.0,0.0,0.0,1.0
47723,Cessna,152,Accident,2000-01-14,Destroyed,No,1.0,reciprocating,Instructional,1.0,0.0,0.0,0.0
47724,Pilatus,PC-7,Accident,2000-01-14,Destroyed,No,1.0,turbo prop,Ferry,1.0,0.0,0.0,0.0
47727,Beech,P-35,Accident,2000-01-16,Substantial,No,1.0,reciprocating,Personal,1.0,0.0,0.0,0.0
47728,Cessna,340A,Accident,2000-01-17,Substantial,No,2.0,reciprocating,Ferry,0.0,0.0,0.0,1.0
47729,Cessna,172M,Accident,2000-01-17,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,4.0,0.0
47730,Hughes,269C,Accident,2000-01-18,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
47731,Cessna,195,Accident,2000-01-18,Substantial,No,1.0,reciprocating,Personal,1.0,0.0,0.0,0.0
47732,Bell,OH-58C,Accident,2000-01-18,Substantial,No,1.0,turbo shaft,Aerial Application,0.0,0.0,1.0,0.0
47733,Cessna,172,Accident,2000-01-18,Substantial,No,1.0,reciprocating,Personal,0.0,1.0,0.0,0.0
47734,Cessna,182J,Accident,2000-01-18,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
47735,Beech,C-90,Accident,2000-01-18,Destroyed,No,2.0,turbo prop,Executive/corporate,4.0,0.0,0.0,0.0
47737,Aeronca,7AC,Accident,2000-01-19,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
47738,Mooney,M20K,Accident,2000-01-19,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
47739,Bell,UH-1H,Accident,2000-01-20,Substantial,No,1.0,turbo shaft,Public Aircraft,0.0,0.0,1.0,0.0
47740,Cessna,T310R,Accident,2000-01-20,Substantial,No,2.0,reciprocating,Business,0.0,0.0,0.0,2.0
47741,Cessna,310Q,Accident,2000-01-20,Substantial,No,2.0,reciprocating,Personal,0.0,0.0,0.0,1.0
47742,Mooney,M20M,Accident,2000-01-21,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
47743,Myers,Q-2,Accident,2000-01-21,Substantial,Yes,1.0,reciprocating,Personal,0.0,0.0,1.0,1.0
47744,Cessna,152,Accident,2000-01-21,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
47745,Beech,95-B55,Accident,2000-01-21,Destroyed,No,2.0,reciprocating,Personal,1.0,0.0,0.0,0.0
47747,Stinson,108-3,Accident,2000-01-22,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,2.0,0.0
47749,Robinson,R22B,Accident,2000-01-22,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,2.0
47750,Piper,PA-18A,Accident,2000-01-22,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,2.0,0.0
47751,Robinson,R-22B,Accident,2000-01-22,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,1.0,1.0
47753,Mitsubishi,MU-2B-26A,Accident,2000-01-22,Destroyed,No,2.0,turbo prop,Personal,2.0,0.0,0.0,1.0
47755,Cessna,310F,Accident,2000-01-23,Substantial,No,2.0,reciprocating,Instructional,0.0,0.0,0.0,4.0
47756,Piper,PA-22-150,Accident,2000-01-23,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
47757,Mooney,M20K,Accident,2000-01-23,Destroyed,No,1.0,reciprocating,Personal,2.0,0.0,0.0,0.0
47758,Cessna,172N,Accident,2000-01-25,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
47759,Air Tractor,AT-401,Accident,2000-01-25,Substantial,No,1.0,reciprocating,Aerial Application,0.0,0.0,0.0,1.0
47762,Piper,PA-28-181,Accident,2000-01-26,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
47763,Grumman American,AG5B,Accident,2000-01-26,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
47764,Hiller,UH-12E,Accident,2000-01-26,Substantial,No,1.0,reciprocating,Aerial Application,0.0,0.0,0.0,1.0
47765,Cessna,414,Accident,2000-01-26,Substantial,No,2.0,reciprocating,Positioning,0.0,0.0,2.0,0.0
47766,Cessna,150L,Accident,2000-01-27,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,2.0
47767,Mitsubishi,MU-300,Accident,2000-01-27,Substantial,No,2.0,turbo fan,Business,0.0,0.0,0.0,6.0
47768,Robinson,R22 BETA,Accident,2000-01-27,Substantial,No,1.0,reciprocating,Other Work Use,0.0,0.0,0.0,2.0
47773,Cessna,150,Accident,2000-01-29,Substantial,No,1.0,reciprocating,Other Work Use,0.0,0.0,0.0,1.0
47774,Cessna,152,Accident,2000-01-29,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
47775,Cessna,150F,Accident,2000-01-29,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,3.0
47776,Robinson,R22B,Accident,2000-01-30,Substantial,No,1.0,reciprocating,Instructional,0.0,1.0,0.0,0.0
47777,Siai-marchetti,SF260,Accident,2000-01-30,Substantial,No,1.0,reciprocating,Business,0.0,0.0,0.0,2.0
47778,Cessna,152,Accident,2000-01-30,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
47780,Beech,D50E,Accident,2000-01-31,Substantial,No,2.0,reciprocating,Personal,0.0,0.0,0.0,1.0
47781,Cessna,177,Accident,2000-01-31,Destroyed,No,1.0,reciprocating,Personal,0.0,1.0,1.0,0.0
47785,Piper,PA-28-180,Accident,2000-01-02,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,2.0
47787,Robinson,R44,Accident,2000-02-02,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
47789,Air Tractor,AT-301,Accident,2000-02-02,Destroyed,No,1.0,reciprocating,Aerial Application,0.0,1.0,0.0,0.0
47791,Beech,A36,Accident,2000-03-02,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,2.0
47793,Beech,A23,Accident,2000-03-02,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,2.0
47796,Mooney,M-20C,Accident,2000-04-02,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,1.0,0.0
47797,Piper,PA-28R-200,Accident,2000-04-02,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,4.0
47798,Piper,PA-28-180,Accident,2000-04-02,Destroyed,No,1.0,reciprocating,Personal,2.0,0.0,0.0,0.0
47799,Piper,PA-24,Accident,2000-05-02,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
47800,Piper,PA-28-161,Accident,2000-05-02,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
47802,Cessna,172,Accident,2000-05-02,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
47803,Beech,M35,Accident,2000-05-02,Destroyed,No,1.0,reciprocating,Personal,0.0,2.0,0.0,0.0
47805,Piper,PA-28-140,Accident,2000-06-02,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,2.0
47807,Rockwell,OV-10D,Accident,2000-06-02,Destroyed,No,2.0,turbo prop,Public Aircraft,0.0,1.0,0.0,0.0
47810,Grumman American,AA1,Accident,2000-07-02,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
47811,Cessna,172R,Accident,2000-07-02,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
47812,Cessna,152,Accident,2000-07-02,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
47813,Cessna,310L,Accident,2000-07-02,Substantial,No,2.0,reciprocating,Personal,0.0,0.0,0.0,1.0
47814,Cessna,172N,Accident,2000-07-02,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
47815,Cessna,A185F,Accident,2000-07-02,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,1.0,1.0
47816,Bellanca,8GCBC,Accident,2000-07-02,Destroyed,No,1.0,reciprocating,Aerial Observation,4.0,0.0,0.0,0.0
47817,Gray,QUESTAIR VENTURE,Accident,2000-07-02,Destroyed,Yes,1.0,reciprocating,Personal,4.0,0.0,0.0,0.0
47818,Cessna,150J,Accident,2000-07-02,Destroyed,No,1.0,reciprocating,Personal,1.0,0.0,0.0,0.0
47820,Cessna,150F,Accident,2000-08-02,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,1.0,1.0
47821,Cessna,210E,Accident,2000-08-02,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,2.0,1.0
47822,Beech,B23,Accident,2000-08-02,Substantial,No,1.0,reciprocating,Instructional,1.0,0.0,0.0,0.0
47823,Piper,PA-38-112,Accident,2000-08-02,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,1.0,0.0
47824,Cessna,180,Accident,2000-08-02,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
47825,Cessna,172P,Accident,2000-08-02,Destroyed,No,1.0,reciprocating,Instructional,3.0,0.0,0.0,0.0
47826,Moravan,Z242L,Accident,2000-08-02,Destroyed,No,1.0,reciprocating,Personal,3.0,0.0,0.0,0.0
47828,Beech,F90,Accident,2000-09-02,Substantial,No,2.0,turbo prop,Business,0.0,0.0,0.0,1.0
47829,Cessna,172,Accident,2000-09-02,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
47830,Mooney,M20J,Accident,2000-09-02,Substantial,No,1.0,reciprocating,Personal,2.0,0.0,0.0,0.0
47831,Cessna,182P,Incident,2000-09-02,Minor,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
47832,Beech,V35,Accident,2000-09-02,Destroyed,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
47833,Beech,76,Accident,2000-10-02,Substantial,No,2.0,reciprocating,Instructional,0.0,0.0,0.0,2.0
47835,Wood,SEAWIND 3000,Accident,2000-11-02,Substantial,Yes,1.0,reciprocating,Personal,2.0,0.0,0.0,0.0
47836,Bell,OH-58A+,Accident,2000-11-02,Destroyed,No,1.0,turbo shaft,Public Aircraft,2.0,0.0,0.0,0.0
47839,Cessna,185,Accident,2000-12-02,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
47840,Maule,M-6-235,Accident,2000-12-02,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
47841,Beech,A36,Accident,2000-12-02,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
47842,Cessna,C-140A,Accident,2000-12-02,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,3.0
47843,Cessna,152,Accident,2000-12-02,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,3.0
47846,Cessna,172,Accident,2000-02-13,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
47847,Piper,PA-24-250,Accident,2000-02-13,Substantial,No,1.0,reciprocating,Personal,0.0,2.0,0.0,0.0
47848,Beech,35-P35,Accident,2000-02-13,Destroyed,No,1.0,reciprocating,Personal,1.0,0.0,0.0,0.0
47849,Hughes,369HS,Accident,2000-02-14,Destroyed,No,1.0,turbo shaft,Aerial Observation,0.0,0.0,0.0,2.0
47850,Taylorcraft,F19,Accident,2000-02-14,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,1.0,0.0
47851,Beech,BE-35K,Accident,2000-02-14,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,1.0,0.0
47852,Beech,58,Accident,2000-02-14,Destroyed,No,2.0,reciprocating,Business,4.0,0.0,0.0,0.0
47854,Cessna,182L,Accident,2000-02-14,Destroyed,No,1.0,reciprocating,Personal,2.0,0.0,0.0,0.0
47857,Piper,PA-28-236,Accident,2000-02-15,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,3.0
47858,Bell,47G5,Accident,2000-02-15,Substantial,No,1.0,reciprocating,Aerial Application,0.0,0.0,0.0,1.0
47859,Cessna,T210M,Accident,2000-02-15,Substantial,No,1.0,reciprocating,Public Aircraft,0.0,0.0,0.0,2.0
47860,Cessna,172N,Accident,2000-02-15,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,3.0,2.0
47861,Piper,PA-28-161,Accident,2000-02-15,Substantial,No,1.0,reciprocating,Instructional,1.0,0.0,0.0,0.0
47862,Cessna,172M,Accident,2000-02-15,Minor,No,1.0,reciprocating,Personal,0.0,0.0,0.0,3.0
47863,Piper,PA-28-140,Accident,2000-02-15,Minor,No,1.0,reciprocating,Instructional,0.0,0.0,3.0,2.0
47865,Cessna,152,Accident,2000-02-16,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
47866,Piper,PA-28R-200,Accident,2000-02-16,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
47869,Cessna,182M,Accident,2000-02-16,Destroyed,No,1.0,reciprocating,Personal,1.0,0.0,0.0,1.0
47871,Piper,PA-18,Accident,2000-02-17,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
47873,Hughes,500C,Accident,2000-02-18,Destroyed,No,1.0,turbo shaft,Aerial Observation,0.0,0.0,1.0,1.0
47874,Cessna,150H,Accident,2000-02-18,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
47875,Cessna,310R,Accident,2000-02-18,Substantial,No,1.0,reciprocating,Positioning,0.0,0.0,0.0,1.0
47879,Cessna,140,Accident,2000-02-19,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,1.0,0.0
47880,Cessna,152,Accident,2000-02-19,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
47881,Aerospatiale,SA341G,Accident,2000-02-20,Substantial,No,1.0,turbo shaft,Personal,0.0,0.0,0.0,1.0
47882,Piper,PA-32-300,Accident,2000-02-20,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,3.0
47884,Piper,PA-32-300,Accident,2000-02-20,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,3.0
47889,Hiller,H-12E,Accident,2000-02-21,Substantial,No,1.0,reciprocating,Aerial Application,0.0,0.0,1.0,0.0
47891,Cessna,172R,Accident,2000-02-21,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,2.0
47892,Cessna,150H,Accident,2000-02-21,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
47894,Piper,PA-28-181,Accident,2000-02-22,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,2.0,0.0
47897,North American,NA-64,Accident,2000-02-24,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
47898,Beech,35,Accident,2000-02-24,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
47899,Cessna,182E,Accident,2000-02-24,Destroyed,No,1.0,reciprocating,Personal,1.0,0.0,0.0,0.0
47900,Beech,95-B55,Accident,2000-02-24,Destroyed,No,2.0,reciprocating,Business,3.0,0.0,0.0,0.0
47902,Cessna,180H,Accident,2000-02-25,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
47904,Bell,412,Accident,2000-02-26,Substantial,No,2.0,turbo shaft,Positioning,0.0,0.0,0.0,3.0
47905,Luscombe,8A,Accident,2000-02-26,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
47906,Ercoupe (eng & Research Corp.),415-C,Accident,2000-02-26,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
47907,Cessna,172K,Accident,2000-02-26,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
47908,Cessna,150L,Accident,2000-02-26,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
47909,Piper,PA-18,Accident,2000-02-26,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,1.0,0.0
47910,Mooney,M-20C,Accident,2000-02-26,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
47912,Piper,PA-34-200,Accident,2000-02-27,Substantial,No,2.0,reciprocating,Personal,0.0,0.0,1.0,2.0
47913,Cessna,150M,Accident,2000-02-27,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
47915,Beech,BE-35V,Accident,2000-02-27,Destroyed,No,1.0,reciprocating,Personal,0.0,1.0,1.0,0.0
47916,Cessna,150H,Accident,2000-02-28,Substantial,No,1.0,reciprocating,Personal,0.0,1.0,0.0,0.0
47917,Cessna,150L,Accident,2000-02-28,Substantial,No,1.0,reciprocating,Personal,0.0,1.0,1.0,0.0
47918,Hughes,TH-55,Accident,2000-02-28,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
47919,Piper,PA-23-160,Accident,2000-02-28,Substantial,No,2.0,reciprocating,Personal,0.0,1.0,1.0,0.0
47920,Cessna,337,Accident,2000-02-28,Destroyed,No,2.0,reciprocating,Personal,1.0,0.0,0.0,0.0
47922,Cessna,152,Accident,2000-02-29,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
47925,Cessna,152,Accident,2000-01-03,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
47926,Piper,PA-32R-301T,Accident,2000-01-03,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
47927,Cessna,210,Accident,2000-01-03,Substantial,No,1.0,reciprocating,Ferry,0.0,0.0,1.0,1.0
47928,Cessna,P210N,Accident,2000-02-03,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
47931,Unknown,unknown,Accident,2000-03-03,Destroyed,Yes,1.0,reciprocating,Personal,1.0,0.0,0.0,1.0
47933,Cessna,180H,Accident,2000-04-03,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,2.0
47934,Ercoupe (eng & Research Corp.),415-C,Accident,2000-04-03,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
47936,Piper,PA-28-161,Accident,2000-05-03,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,1.0,0.0
47937,Piper,PA-46-310,Accident,2000-05-03,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
47938,Alon,ERCOUPE,Accident,2000-05-03,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,2.0,0.0
47940,Stinson,108-3,Accident,2000-05-03,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
47941,Cessna,170B,Accident,2000-05-03,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,3.0
47943,Bellanca,260 B,Accident,2000-05-03,Destroyed,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
47944,Cessna,CE-560,Incident,2000-05-03,Minor,No,2.0,turbo fan,Other Work Use,0.0,0.0,0.0,2.0
47945,Piper,PA-28-180,Accident,2000-06-03,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
47946,Hughes,369D,Accident,2000-06-03,Substantial,No,1.0,turbo shaft,Business,0.0,0.0,0.0,2.0
47947,Piper,PA-12,Accident,2000-06-03,Destroyed,No,1.0,reciprocating,Positioning,1.0,0.0,0.0,0.0
47948,Aeronca,7AC,Accident,2000-07-03,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,1.0,1.0
47949,Cessna,150E,Accident,2000-07-03,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
47950,Stearman,A-75,Accident,2000-07-03,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
47951,Bell,47G-4A,Accident,2000-07-03,Substantial,No,1.0,reciprocating,Aerial Application,0.0,0.0,0.0,1.0
47952,Cessna,185,Accident,2000-07-03,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,2.0,0.0
47953,Cessna,172M,Accident,2000-07-03,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,2.0,1.0
47954,Piper,PA-22,Accident,2000-07-03,Destroyed,No,1.0,reciprocating,Positioning,0.0,1.0,0.0,0.0
47955,Titan Aircraft,TORNADO,Accident,2000-07-03,Destroyed,Yes,1.0,reciprocating,Personal,0.0,0.0,1.0,0.0
47961,Cessna,152,Accident,2000-09-03,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
47962,Beech,A36,Accident,2000-09-03,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,3.0
47963,Cessna,152,Accident,2000-09-03,Destroyed,No,1.0,reciprocating,Instructional,4.0,0.0,0.0,0.0
47964,Cessna,172K,Accident,2000-09-03,Destroyed,No,1.0,reciprocating,Personal,4.0,0.0,0.0,0.0
47966,Cessna,180,Accident,2000-10-03,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
47967,Cessna,172L,Accident,2000-10-03,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
47968,Boeing,369D,Accident,2000-10-03,Substantial,No,1.0,turbo shaft,Personal,0.0,1.0,0.0,0.0
47969,Beech,65-B80,Accident,2000-10-03,Substantial,No,2.0,reciprocating,Personal,0.0,0.0,0.0,3.0
47972,Robinson,R22B,Accident,2000-11-03,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
47973,Cessna,182Q,Accident,2000-11-03,Substantial,No,1.0,reciprocating,Personal,1.0,1.0,0.0,0.0
47974,Cessna,150K,Accident,2000-11-03,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
47975,Piper,PA-18-150,Accident,2000-11-03,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
47977,Bell,47G,Accident,2000-12-03,Substantial,No,1.0,reciprocating,Aerial Application,0.0,0.0,1.0,0.0
47978,Learjet,60,Accident,2000-12-03,Substantial,No,2.0,turbo fan,Executive/corporate,0.0,0.0,0.0,2.0
47979,Piper,PA-18-150,Accident,2000-12-03,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
47981,Piper,PA-18-150,Accident,2000-03-13,Substantial,No,1.0,reciprocating,Public Aircraft,0.0,1.0,1.0,0.0
47982,Cessna,A188B,Accident,2000-03-13,Substantial,No,1.0,reciprocating,Aerial Application,0.0,0.0,0.0,1.0
47983,Grumman,G-164A,Accident,2000-03-13,Substantial,No,1.0,reciprocating,Aerial Application,0.0,0.0,0.0,1.0
47984,Grumman-schweizer,G-164A,Accident,2000-03-13,Substantial,No,1.0,reciprocating,Aerial Application,0.0,0.0,0.0,1.0
47985,Siai-marchetti,S.205/22R,Accident,2000-03-13,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
47986,Beech,A23A,Accident,2000-03-13,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
47987,Weatherly,620B,Accident,2000-03-13,Destroyed,No,1.0,reciprocating,Aerial Application,1.0,0.0,0.0,0.0
47989,Beech,A36,Accident,2000-03-14,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,3.0
47990,Cessna,182P,Accident,2000-03-14,Substantial,No,1.0,reciprocating,Positioning,0.0,0.0,1.0,0.0
47992,Cessna,310D,Accident,2000-03-14,Minor,No,2.0,reciprocating,Personal,0.0,0.0,0.0,3.0
47993,Bell,OH-58C,Accident,2000-03-14,Destroyed,No,1.0,turbo shaft,Public Aircraft,0.0,0.0,2.0,0.0
