,Make,Model,Investigation_Type,Event_Date,Aircraft_damage,Amateur_Built,Number_of_Engines,Engine_Type,Purpose_of_flight,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured
83389,Cessna,170,Accident,2019-06-17,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
83391,Stinson,10,Accident,2019-06-17,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
83392,Robinson,R44,Accident,2019-06-18,Destroyed,No,1.0,reciprocating,Personal,1.0,0.0,0.0,0.0
83399,Cessna,150,Accident,2019-06-20,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
83400,Beech,A36,Accident,2019-06-20,Destroyed,No,1.0,reciprocating,Personal,2.0,0.0,0.0,0.0
83402,North American,T28,Accident,2019-06-20,Substantial,No,1.0,reciprocating,Personal,0.0,1.0,0.0,0.0
83403,Cessna,172,Accident,2019-06-21,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,2.0
83404,Cessna,182,Accident,2019-06-21,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
83405,Taylorcraft,BC12,Accident,2019-06-21,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
83406,Robinson,R44,Accident,2019-06-21,Substantial,No,1.0,reciprocating,Aerial Application,0.0,0.0,0.0,1.0
83408,Helio,H 250,Accident,2019-06-21,Destroyed,No,1.0,reciprocating,Personal,3.0,0.0,0.0,0.0
83409,Piper,L21,Accident,2019-06-21,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
83410,PIPER,PA28,Accident,2019-06-21,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,1.0,0.0
83411,Aeronca,S7EC,Accident,2019-06-21,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
83412,Cirrus,SR22,Accident,2019-06-21,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
83413,Beech,65-A90,Accident,2019-06-22,Destroyed,No,2.0,turbo prop,Skydiving,11.0,0.0,0.0,0.0
83414,Maule,M7-235B,Accident,2019-06-22,Substantial,No,1.0,reciprocating,Personal,1.0,1.0,0.0,0.0
83416,QUICKSILVER,Sport,Accident,2019-06-22,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,1.0,0.0
83417,Cessna,172,Accident,2019-06-22,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
83419,Cessna,180,Accident,2019-06-22,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,4.0
83424,Piper,J3C,Accident,2019-06-23,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,2.0,0.0
83425,Cessna,152,Accident,2019-06-23,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
83426,Piper,PA24,Accident,2019-06-24,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
83427,Cessna,182,Accident,2019-06-24,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
83428,Piper,PA28,Accident,2019-06-25,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,3.0
83429,BELL,OH58C,Accident,2019-06-25,Substantial,No,1.0,turbo shaft,Instructional,0.0,0.0,0.0,2.0
